startup,title,Location,Founded,Investment,Management,Segment,description,Website,facebook,instagram,linkedin,twitter,xing,youtube
 42matters, European Pioneer in Mobile Targeting Data,Zürich (Switzerland),2011,Seed,"Andrea Girardello, Ivan Delchev, Andreas Budde, Bo Wang",Advertising Technology  & Consumer Data,"42matters, headquartered in Zurich is a high-tech company and pioneer in mobile app marketing. The company has developed an innovative solution to targeting customers, by creating profiles based on a user’s app-graph. 42matters’ customers include advertising companies and telecommunications organisations, as well as big and small app developers. 42matters collects data, profiles it and then offers this data in several leading DMPs to a broad group of advertisers. 42matters is also developing one of the most comprehensive App Market APIs available worldwide. 42matters AG was founded in 2011 by Andrea Girardello, Ivan Delchev, Andreas Budde and Bo Wang.",www.42matters.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Adglow, Optimizing Advertiser's Social Media Campaigns,"Madrid (Spain),  London (UK), and others",2016,Series A,"Juan Dominguez, Jorge Rincon",Advertising Technology  & Consumer Data,"Adglow has been investing heavily to build its own social media demand-side platform (DSP), creating niche technology to be able to efficiently buy social media inventory in video, mobile and search engine channels. Their powerful software along with Facebook (Marketing Partner) and Twitter (Marketing Platform Partner) certifications put Adglow in a strategic position to be able to offer both advertisers and agencies the best technology to meet their social media advertising needs: ADAM. ADAM is not just Adglow’s proprietary DSP for social media, allowing advertisers to purchase inventory in social media through real-time bidding (RTB); it also helps Adglow professionals around the world to design, manage, optimize and extract data and key insights from social media ad campaigns.",www.adglow.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Amerano, Personalized Men's Fashion,Berlin (Germany),2011,Acquired by family business Grünberg in June 2013,"Just Beyer, Sebastian Bourmer",E-commerce,"AMERANO is an online shop for personalized men´s fashion. From suit to shoes, from cashmere jersey to cufflink, each detail can be personalized. Through individual style advice look and correct fit are guaranteed. After the first online order, the customer’s clothing sizes are saved, which makes repeat orders or corrections convenient. The products are manufactured in Europe and directly shipped to the customer.",,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Artisense, Second to none in AI powered computer vision,"Munich, Palo Alto, Tokyo",2015,Seed,"Dr. Daniel Cremers,  Till Kaestner, Andrej Kulikov",Mobility,"Founded by renowned researchers, industry experts, and company builders, Artisense develops AI-based computer vision solutions for vehicle automation and robotics. Based on dynamic 3D maps, which are combined in an Internet of Vehicles, Artisense’s technology enables navigation of autonomous vehicles without GPS or expensive sensors and hardware. As a spin-off of the chair of Prof. Daniel Cremers of the Technical University of Munich, Artisense builds on 10 years of research and cooperation with leading OEM, T1, and technology companies.",https://www.artisense.ai,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Aula, Digital Infrastructure for Education,London,2016,Seed,"Adrian Franklin, Anders Krohn, Oliver Nicolini, Rune Kvist",Education Technology,"Aula is a communication platform built for education that replaces emails and learning management systems (e.g. Moodle, Canvas, Blackboard, D2L) with digital infrastructure designed to encourage interaction and engagement. Aula was founded at the University of Oxford by Anders Krohn, Oliver Nicolini and Adrian Franklin who were driven to build Aula based on their experiences as students at universities across the globe. The institutional version of Aula was launched in September 2017 and early adopter universities include Ravensbourne, the University of Nottingham, the Royal College of Art and the University of Derby. Aula brings together students, staff, and educators — think of it as an institution’s digital campus.",aula.education,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 AZOWO, The  Mobility Platform for Fleet Management and Mobility Sharing,"Biberach, Germany",2015,Seed,"Peter Jegutzki, Andreas Kopf, Patric Schneider",Mobility,"AZOWO provides a B2B mobility platform to manage and optimize vehicle fleets. With its flexible, cloud-based fleet management software and mobility sharing solution, AZOWO enables efficient management and effective optimization of fleets and vehicle pools. The solution provides the highest data transparency, automated processes, and sound statistics and reports. AZOWO, which headquartered in Biberach (Germany), has been founded in 2015 by Peter Jegutzki, Andreas Kopf, and Patric Schneider.",www.azowo.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
,,Berlin,2016,Seed,"Kurosch D. Habibi, Pascal Stichler",FinTech,"Carl is an M&A platform for SMEs, connecting owners, advisors, and acquirers around opportunities from €1mn to €50mn in transaction value. Carl’s private deal network, a dedicated SaaS solution that guides the process and partnerships with numerous associations, banks, and more than 220 M&A advisors, connects more than 1,300 accredited buyers to more than 120 opportunities. Carl’s mission is to offer the “Mittelstand” the same access to professional and efficient M&A services that large cooperations have had access to since long ago.",https://www.carlfinance.de/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Casavo, First Italian iBuyer - sell your home within 30 days!,Milan,2017,Series A,Giorgio Tinacci,PropTech,"Casavo’s mission is to make buying and selling residential property as simple and pleasant as possible. Casavo’s automated valuation engine takes more than 70 variables into account and immediately provides potential sellers with the fair value of their property – and a purchase offer. Upon acceptance of the offer, Casavo arranges a free inspection of the property and the seller receives the full cash payment within 30 days. The property is eventually renovated and sold to the next owner directly by Casavo. A clear and transparent process which fosters customer confidence and peace of mind. The combination of technological edge paired with the team’s focus on flawless execution enables Casavo to decrease time to sell – which ultimately is of the highest value to the customer.",https://www.casavo.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Catawiki, Curated Online Auctions For Exceptional Objects,Assen (The Netherlands),2008,Series B,Ravi Vora,Marketplaces,"Catawiki is a global online auction platform which unites buyers and sellers of special objects and collectibles in a unique way. The company was founded in 2008 by a Dutch comic book collector and a Dutch developer as a community for collectors. Since 2011, Catawiki has been hosting weekly auctions for special objects, from comic books to classic cars and everything in between. In-house experts curate every auction, guaranteeing varied, high-quality selections of auction lots. Catawiki's unique payment system also provides buyers and sellers with a secure and simple means of transaction. With millions of visitors from across the world every month, Catawiki is the most trusted place for selling high-quality and hard-to-find objects online.",www.catawiki.com,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
 Comtravo, AI Booking Platform for Business Travel,Berlin (Germany),2015,Series A,"Michael Riegel, Jannik Neumann, Marko Schilde and Slobodan Utvic",Booking Platform / Travel Tech,"Comtravo makes booking and managing business trips as simple as sending an email. Comtravo’s software translates text requests such as email into structured queries using natural language processing (NLP) and artificial intelligence technology to provide the best travel options for individual travelers based on specified preferences as well as previous booking behavior. This way, users can quickly book personalized offers with one click directly in the email.",https://www.comtravo.com/en/,https://www.facebook.com/projectaberlin,https://www.instagram.com/projectaberlin,https://www.linkedin.com/company/project-a-ventures/,https://twitter.com/ProjectAcom,https://www.xing.com/companies/projectaventuresgmbh&co.kg,https://www.youtube.com/channel/UCym2ovde54xkKpWPrvTFPRw
